site_id,site_name,latitude,longitude,state,county,city,site_type,status,contamination_type,federal_facility,npl_status
SEMSTND980558977,Shelby Cnty Penal Farm Ldfl,35.1291665,-89.8381058,Tennessee,Shelby,Memphis,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSMON000705801,Corry Mines,37.4792167,-93.7266191,Missouri,Dade,Dadeville,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSSCD980842629,Buff ( C D ) Site,34.9633398,-81.9666706,South Carolina,Spartanburg,Spartanburg,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSMIN000510244,Chemserve,42.287875,-83.1288628,Michigan,Wayne,Detroit,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSUTN000821106,Broadway Hotel,40.533006,-112.2880118,Utah,Tooele,Tooele,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSKSN000741193,Sulfur Road 22 Stockpile,37.0381065,-96.1454177,Kansas,-- Not Defined --,Peru,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSCAT000623959,Commerce Refuse Energy Site (Crown Zellerbach Corporation),33.9967249,-118.1520022,California,Los Angeles,Commerce,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSID1141190040,Us Doi Blm German Lake,42.8248621,-113.5285494,Idaho,Minidoka,Minidoka,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSFLN000420070,Steven Jachlewski Property,29.2062555,-81.9617833,Florida,Marion,Silver Spgs,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSMIN000510547,Pleasant Street,42.2825282,-83.1470344,Michigan,Wayne,Detroit,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSNJD040736779,45-49 Gingerbread Castle Road Asbestos,41.1465183,-74.5766317,New Jersey,-- Not Defined --,Hamburg,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSGAN000420933,Brunswick Facility Fire,31.1085209,-81.5493503,Georgia,Glynn,Brunswick,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSVAN000305873,Crozet Township Orchard Site,38.0833406,-78.5833357,Virginia,Albemarle,Crozet,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSWAD009624453,Boomsnub Airco Superfund Site,45.6772275,-122.6216815,Washington,Clark,Vancouver,Superfund,Currently On The Final Npl,,False,Current NPL
SEMSILR000209387,South Kolmar Abandoned Trailer Er,41.8671364,-87.7391347,Illinois,Cook,Chicago,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSWIN000510903,New London Asbestos Response,44.3879282,-88.7396564,Wisconsin,Waupaca,New London,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSTNN000405037,Philips Magnavox,36.136567,-83.4748041,Tennessee,Jefferson,Jefferson City,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSCA2170090235,San Diego Public Works Center,32.8666718,-117.1450119,California,San Diego,San Diego,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSORN001020619,Ne Portland Mercury,45.5396755,-122.6463345,Oregon,Multnomah,Portland,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSCAD980638860,Celtor Chemical Works,41.1027051,-123.6911138,California,Humboldt,Hoopa,Superfund,Deleted From The Final Npl,,False,Deleted from NPL
SEMSFLD981004195,Allied Container Corp,30.2962187,-81.8447514,Florida,Duval,Jacksonville,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSKSN000741036,Salina Pce Location #6 W Crawford (West),38.8264168,-97.6227482,Kansas,Saline,Salina,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSSCD987566726,Hinson Chemical,35.1018408,-81.0400613,South Carolina,York,Lake Wylie,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSTNN000410950,The Sullivan Company,35.1127675,-90.0549589,Tennessee,Shelby,Memphis,Superfund,Not On The Npl,,False,Non-NPL Superfund
