api_number,well_name,latitude,longitude,state,county,operator_name,well_type,well_status,spud_date,months_inactive,liability_est,field_name,lease_name,district
49-033-23084,SEVEN BROTHERS #3D2D3-6 56-83,44.86229,-106.90419,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Permanently Abandoned,2004-01-01,52,,PRB COAL BED,SEVEN BROTHERS,
49-033-23085,SEVEN BROTHERS #1D2D3-6 56-83,44.86297,-106.89378,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Permanently Abandoned,2004-02-01,52,,PRB COAL BED,SEVEN BROTHERS,
49-033-23086,SEVEN BROTHERS #1SA-6 56-83,44.86284,-106.89345,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Permanently Abandoned,2004-02-01,53,,PRB COAL BED,SEVEN BROTHERS,
49-033-23087,SEVEN BROTHERS #3SA-6 56-83,44.86248,-106.90436,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,LW,Permanently Abandoned,2004-01-01,48,,PRB COAL BED,SEVEN BROTHERS,
49-033-23088,SEVEN BROTHERS #5SA-6 56-83,44.85871,-106.9102,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Permanently Abandoned,2004-07-01,52,,PRB COAL BED,SEVEN BROTHERS,
49-033-23089,SEVEN BROTHERS #7SA-6 56-83,44.85859,-106.89964,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Permanently Abandoned,2004-07-01,53,,PRB COAL BED,SEVEN BROTHERS,
49-033-23091,SEVEN BROTHERS #1MK-6 56-83,44.86277,-106.8933,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,LW,Permanently Abandoned,2004-01-01,61,,PRB COAL BED,SEVEN BROTHERS,
49-033-23092,SEVEN BROTHERS #3MK-6 56-83,44.86248,-106.90454,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Permanently Abandoned,2003-05-01,52,,PRB COAL BED,SEVEN BROTHERS,
49-033-23093,SEVEN BROTHERS #5MK-6 56-83,44.85896,-106.91028,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,LW,Permanently Abandoned,2004-07-01,48,,PRB COAL BED,SEVEN BROTHERS,
49-033-23106,AC RANCH #1MK-8 56-83,44.84777,-106.8731,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Permanently Abandoned,2004-08-01,54,,PRB COAL BED,AC RANCH,
49-033-23118,CHERNI #13D2D3-18 57-83,44.91027,-106.92293,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,LW,Permanently Abandoned,2003-02-01,56,,PRB COAL BED,CHERNI,
49-033-23119,AC RANCH #1SA-8 56-83,44.84791,-106.8731,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Permanently Abandoned,2004-08-01,54,,PRB COAL BED,AC RANCH,
49-033-23122,CHERNI #5MK-17 57-83,44.91747,-106.90273,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,LW,Permanently Abandoned,2002-12-01,59,,PRB COAL BED,CHERNI,
49-033-23123,CHERNI #5K-19 57-83,44.9026,-106.92336,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Permanently Abandoned,2002-12-01,54,,PRB COAL BED,CHERNI,
49-033-23125,ST.  ROMAIN #5MK-30 57-83,44.88876,-106.92303,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,LW,Permanently Abandoned,2004-08-01,54,,PRB COAL BED,ST.  ROMAIN,
49-033-23128,NANCE #58-79-30-03WIW,44.9763,-106.43321,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,LW,Permanently Abandoned,2001-10-01,177,,PRB COAL BED,NANCE,
49-033-23130,CHERNI #5SA-17 57-83,44.91759,-106.90275,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Permanently Abandoned,2003-01-01,55,,PRB COAL BED,CHERNI,
49-033-23138,CHERNI #5A-19 57-83,44.90262,-106.92353,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Permanently Abandoned,2003-01-01,54,,PRB COAL BED,CHERNI,
